model,samples,train time,test time
LocalOutlierFactor,1602,4.797836404,1.198003783
LocalOutlierFactor,1680,5.392140652,1.14051345
LocalOutlierFactor,1920,6.697644536,1.301838358
LocalOutlierFactor,2346,9.459806129,1.291163161
OneClassSVM,60,0.1173512943,0.06124494299
OneClassSVM,209,1.219229926,0.3643193148
OneClassSVM,213,1.312569881,0.4992046639
OneClassSVM,219,1.349603445,0.6246654704
OneClassSVM,220,1.388181271,0.628874968
OneClassSVM,224,1.477204505,0.853712181
OneClassSVM,230,1.588562611,0.7265548259
OneClassSVM,240,1.641434785,0.8183323383
OneClassSVM,245,1.724078928,0.7093404651
OneClassSVM,247,1.752826617,0.4543367624
OneClassSVM,264,2.065581249,0.5351274438
OneClassSVM,267,1.986369439,0.9992502734
OneClassSVM,280,2.306097141,0.842178899
OneClassSVM,320,2.954223277,1.238465896
OneClassSVM,360,3.660604639,0.3505945407
OneClassSVM,391,4.25666287,0.9918568425
OneClassSVM,1254,40.43658108,2.126137818
OneClassSVM,1278,43.67380974,2.908273632
OneClassSVM,1314,45.10249476,3.672594643
OneClassSVM,1320,46.53770097,3.43988936
OneClassSVM,1344,49.91311867,4.905844668
OneClassSVM,1380,52.52654186,3.897547353
OneClassSVM,1440,54.56571991,4.636812415
OneClassSVM,1470,65.14695982,4.515750956
OneClassSVM,1482,67.23132173,2.897296866
OneClassSVM,1584,81.05389348,3.343670152
OneClassSVM,1602,83.58593439,6.76358883
OneClassSVM,1680,93.56756206,5.278236403
OneClassSVM,1920,121.2703302,8.142340125
OneClassSVM,2346,167.6606169,6.32320783
