object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
wood,resnet50,imagenet1k_v2,False,layer4,"[247, 100352]",sklearn.svm.OneClassSVM,{'kernel': 'rbf'},0.9964912280701754,1.0571963787078857,0.5738322734832764
wood,resnet50,imagenet1k_v2,False,layer3,"[247, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.993859649122807,1.7125542163848877,1.438948631286621
wood,resnet50,imagenet1k_v2,False,layer4,"[247, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 56},0.993859649122807,0.8864908218383789,0.7435925006866455
wood,resnet50,imagenet1k_v2,False,layer4,"[247, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 64},0.993859649122807,0.8759794235229492,0.746119499206543
wood,resnet50,imagenet1k_v2,False,layer4,"[247, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 48},0.9929824561403509,0.8733000755310059,0.748694658279419
wood,resnet50,imagenet1k_v2,True,layer3,"[1482, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9929824561403509,6.602431535720825,1.7802703380584717
wood,resnet50,imagenet1k_v2,False,layer3,"[247, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 2},0.9921052631578947,1.7144677639007568,1.436497449874878
wood,resnet50,imagenet1k_v2,False,layer3,"[247, 200704]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9921052631578947,1.7081196308135986,1.516352891921997
wood,resnet50,imagenet1k_v2,False,layer4,"[247, 100352]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 40},0.9921052631578947,0.8795194625854492,0.7470347881317139
zipper,resnet18,imagenet1k_v1,False,layer3,"[240, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9753151260504203,0.3739891052246094,0.39452290534973145
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9747899159663866,1.5264384746551514,0.4708671569824219
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9747899159663865,1.5351011753082275,0.45328831672668457
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9745273109243697,1.5554437637329102,0.5155158042907715
zipper,resnet18,imagenet1k_v1,False,layer3,"[240, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9742647058823529,0.3820645809173584,0.373293399810791
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 28},0.9740021008403361,1.5406124591827393,0.5196759700775146
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 40},0.9740021008403361,1.5357177257537842,0.48256349563598633
zipper,resnet18,imagenet1k_v1,False,layer3,"[240, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9737394957983193,0.39144182205200195,0.34308862686157227
zipper,resnet18,imagenet1k_v1,True,layer3,"[1440, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 32},0.9734768907563025,1.5300142765045166,0.478365421295166
zipper,resnet18,imagenet1k_v1,False,layer3,"[240, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 24},0.9734768907563025,0.3892536163330078,0.35027480125427246
